date,lecture
13/03/23,Introdução ao método Bayesiano
20/03/23,Probabilidade subjetiva e apostas
27/03/23,Distribuição marginal e preditiva dos dados
03/04/23,Feriado
10/04/23,Distribuições conjugadas I
17/04/23,Distribuições conjugadas II
24/04/23,Teoria da Decisão
01/05/23,Feriado
08/05/23,Estimação Pontual
15/05/23,Prova 1 (P1) e correção
22/05/23,Estimação Intervalar
29/05/23,Testes de Hipótese I
05/06/23,Testes de Hipótese II
12/06/23,Modelos Hierárquicos Bayesianos
19/06/23,Algoritmo de Metropolis-Hastings
26/06/23,Princípios de Monte Carlo Hamiltoniano
03/07/23,Prova 2 (P2) e correção
10/07/23,Prova 3 (P3)
