date,lecture
05/08/24,Descrição do curso e Paradoxo de Simpson
07/08/24,Modelos probabilísticos em grafos
12/08/24,Confudidores cadeias e colisores
14/08/24,Independência condicional e D-separação
19/08/24,Intervenções
21/08/24,ACE no Modelo Linear Gaussiano
26/08/24,Critério backdoor (definição e identificação causal)
28/08/24,Critério backdoor (estimação)
02/09/24,Feriado
04/09/24,Feriado
09/09/24,Revisão
11/09/24,Prova 1
16/09/24,Regression Discontinuity Design (RDD; exemplos)
18/09/24,Regression Discontinuity Design (RDD; teoria)
23/09/24,Critério frontdoor (definição e exemplos)
25/09/24,Do calculus
30/09/24,Resultados potenciais
02/10/24,Comparações entre Pearl e Rubin
07/10/24,Variáveis instrumentais (definição e exemplos)
09/10/24,Variáveis instrumentais (teoria)
14/10/24,Variáveis sintéticas (definição e exemplos)
16/10/24,Contrafactuais (definição e exemplos)
21/10/24,Contrafactuais (teoria)
23/10/24,Contrafactuais (aplicação ao Direito)
28/10/24,Descoberta Causal (motivação)
30/10/24,Testes de Independência Condicional
04/11/24,Algoritmo PC
06/11/24,Tópicos especiais
11/11/24,Tópicos especiais
13/11/24,Tópicos especiais
18/11/24,Seminários
20/11/24,Seminários
25/11/24,Seminários
27/11/24,Seminários
02/12/24,Recesso
04/12/24,Recesso
09/12/24,Prova Substitutiva
11/12/24,Prova de Recuperação
