NUSP,P1,P2,P3,Part,Sub
336,0.4,0,0,0,0
324,0,0,0,0,0
795,0,0,0,0,0
389,0,3.1,4.8,0.5,5.5
290,8.1,6.6,9.5,0.5,0
58,0,0,0,0,0
125,0,1.6,2,0.5,0.1
747,8.9,5.4,0,0.5,4
855,0,0,0,0,0
251,7,5.4,8.8,0.5,0
859,8,10,7.8,0.5,0
259,0,0,0,0,0
72,10,7.9,7,0.5,0
442,5,7.6,8,0.5,0
356,7.4,7.1,7,0.5,0
381,0,0,0,0,0
89,0,9.1,0,0.5,6.8
777,7,8.1,0,0.5,2.3
732,9.5,9.1,10.3,0.5,0
44,0,0,0,0,0
206,5.8,8.1,9,0.5,0
320,4.1,0,3.8,0.5,7
534,7.5,8.1,10.5,0.5,0
110,0,0,0,0,0
877,0,0,0,0,0
358,3.6,6.4,6,0.5,0
601,0.6,3.4,4.8,0.5,3.5
428,7.2,5.9,7.5,0.5,0
607,2.9,1.9,0,0.5,0
236,8.5,8.6,8.8,0.5,0
431,6.3,6.9,5.5,0.5,0
921,4.5,4.4,0,0.5,6.3
469,5.8,5.9,8,0.5,0
570,0,0,0,0,0
874,0,0,0,0,0
199,0,0,0,0,0
262,6.1,6.1,9.3,0.5,0
158,0,0,0,0,0
652,0,0,0,0,0
528,6.1,8.9,6.5,0.5,0
943,3.4,7.6,6,0.5,0
885,0,0,0,0,0
562,10.4,10.4,11,0.5,0
171,0,1.6,2,0.5,3
460,6,7.4,7,0.5,0
240,5.8,5.5,5,0.5,0
782,0,0,0,0,0
663,8.3,7.1,7.8,0.5,0
166,0,0,0,0,0
985,0,0,0,0,0
802,0,0,0,0,0
