date,lecture
04/08/25,Modelo estatístico
06/08/25,Familia exponencial
11/08/25,Problema de decisão estatístico, função de risco, e admissibilidade
13/08/25,Estatística suficiente, e Teorema da fatoração,
18/08/25,Rao-Blackwell e Informação de Fisher
20/08/25,Estimação estatística. Método dos momentos e plugin
25/08/25,Estimador de máxima verossimilhança e suas propriedades
27/08/25,Estimação não-viesada
01/09/25,Feriado
03/09/25,Feriado
08/09/25,Estimação em alta dimensionalidade: quando tudo falha
10/09/25,Regularização e Estimação de densidade
15/09/25,Exemplos e Revisão
17/09/25,Prova 1
22/09/25,Testes de hipótese
24/09/25,Teorema de Neyman-Pearson
29/09/25,Teorema de Karlin-Rubin e aplicações
01/10/25,Teste da razão de verossimilhanças
06/10/25,Passando a limpo Estat II
08/10/25,Passando a limpo Estat II
13/10/25,Passando a limpo Estat II
15/10/25,Teste de score e de Wald
20/10/25,Aproximação chi-quadrado e Teste da permutação
22/10/25,Revisão
27/10/25,Feriado
29/10/25,Prova 2
03/11/25,
05/11/25,Estimação de região: quantidades pivotais
10/11/25,Estimação de região: inversão e aproximação assintótica 
12/11/25,Estimação de região: bootstrap
17/11/25,Inferência estatística na normal multivariada
19/11/25,Inferência estatística na normal multivariada
25/11/25,Inferência estatística na normal multivariada e Revisão
26/11/25,Prova 3
01/12/25,Não há aula
03/12/25,Não há aula
08/12/25,Prova substitutiva
10/12/25,Prova de recuperação
