date,lecture
26/02/24,Introdução ao curso
28/02/24,Jogos Estratégicos e Equilíbrio de Nash
04/03/24,Função melhor resposta e Existência do Equilíbrio de Nash
06/03/24,Jogos estritamente competitivos
11/03/24,Racionalibilidade e dominância
13/03/24,Estratégias mistas
18/03/24,Equilíbrio correlacionado
20/03/24,Equilíbrio evolutivo
25/03/24,Feriado
27/03/24,Feriado
01/04/24,Forma extensiva de jogos com informação perfeita
03/04/24,Equilíbrio perfeito em subjogos
08/04/24,O jogo do ultimato e um modelo de duopólio
10/04/24,Outros exemplos de equilíbrio perfeito em subjogos
15/04/24,O dilema do prisioneiro em jogos repetidos
17/04/24,Jogos de barganha
22/04/24,Jogos de barganha
24/04/24,Revisão
29/04/24,Prova 1
01/05/24,Feriado
06/05/24,Jogos cooperativos e seu núcleo
08/05/24,Conjuntos estáveis e o valor de Shapley
13/05/24,Matching
15/05/24,Matching
20/05/24,Outros exemplo de jogos cooperativos
22/05/24,Outros exemplo de jogos cooperativos
27/05/24,Jogos de informação incompleta
29/05/24,Jogos de informação incompleta
03/06/24,Seminário
05/06/24,Seminário
10/06/24,Seminário
12/06/24,Seminário
17/06/24,Seminário
19/06/24,Seminário
24/06/24,Revisão
26/06/24,Prova 2
