date,lecture  
26/02/24,Introdução ao curso
28/02/24,Jogos Estratégicos
04/03/24,Equilíbrio de Nash  
06/03/24,Função melhor resposta
11/03/24,Modelos de Cournot de oligopólios
13/03/24,Modelos de Leilões
18/03/24,Estratégias mistas
20/03/24,Existência do Equilíbrio de Nash usando estratégias mistas
25/03/24,Feriado
27/03/24,Feriado
01/04/24,Equilíbrio correlacionado e evolutivo
03/04/24,Jogos estritamente competitivos
08/04/24,Revisão
10/04/24,Prova 1
15/04/24,Forma extensiva de jogos com informação perfeita
17/04/24,Equilíbrio perfeito em subjogos
22/04/24,O jogo do ultimato e um modelo de duopólio
24/04/24,Outros exemplos de equilíbrio perfeito em subjogos
29/04/24,O dilema do prisioneiro em jogos repetidos
01/05/24,Feriado
06/05/24,Jogos cooperativos e seu núcleo
08/05/24,Conjuntos estáveis e o valor de Shapley
13/05/24,Matching
15/05/24,Matching
20/05/24,Outros exemplo de jogos cooperativos
22/05/24,Outros exemplo de jogos cooperativos
27/05/24,Jogos de informação incompleta
29/05/24,Jogos de informação incompleta
03/06/24,Seminário
05/06/24,Seminário
10/06/24,Seminário
12/06/24,Seminário
17/06/24,Seminário
19/06/24,Seminário
24/06/24,Revisão
26/06/24,Prova 2
