processo,assunto,camara,relator,origem,comarca,polo_mp,decisao,unanimidade,dt_publicacao,ementa,tempo,rel_idade,rel_id_municipio_nasc,rel_faculdade_direito,rel_tempo_magistratura,rel_tipo_magistrado,rel_quinto
00013452120188260535,DIREITO PENAL - Crimes contra o Patrimônio - Roubo Majorado,01ª Câmara de Direito Criminal,MÁRIO DEVIENNE FERRAZ,Comarca de Guarulhos / Foro de Guarulhos / 4ª Vara Criminal,GUARULHOS,Passivo,Parcialmente,Unânime,2020-03-13,N/A (TJSP;  Apelação Criminal 0001345-21.2018.8.26.0535; Relator (a): Mário Devienne Ferraz; Órgão Julgador: 1ª Câmara de Direito Criminal; Foro de Guarulhos - 4ª Vara Criminal; Data do Julgamento: 02/03/2020; Data de Registro: 13/03/2020),2.195756331279945,70.59822039698837,3534708,Faculdade Católica de Direito de Santos,44.90075290896646,desembargador,não
00647287520158260050,DIREITO PENAL - Crimes Previstos na Legislação Extravagante - Crimes de Tráfico Ilícito e Uso Indevido de Drogas - Tráfico de Drogas e Condutas Afins,07ª Câmara de Direito Criminal,ALBERTO ANDERSON FILHO,Comarca de São Paulo / Foro Central Criminal Barra Funda / 31ª Vara Criminal,SAO PAULO,Passivo,Negaram,Unânime,2016-08-02,APELAÇÃO CRIMINAL –  Tráfico de entorpecentes –  pena e regime bem aplicados –  Recurso de apelação do Réu não provido.  (TJSP;  Apelação Criminal 0064728-75.2015.8.26.0050; Relator (a): Alberto Anderson Filho; Órgão Julgador: 7ª Câmara de Direito Criminal; Foro Central Criminal Barra Funda - 31ª Vara Criminal; Data do Julgamento: 28/07/2016; Data de Registro: 02/08/2016),1.5852156057494866,69.59069130732375,3509502,Faculdade de Direito da Pontifícia Universidade Católica de Campinas,35.83572895277207,desembargador,não
00039169220148260150,DIREITO PENAL-Crimes contra o Patrimônio-Apropriação indébita,14ª Câmara de Direito Criminal,FERNANDO TORRES GARCIA,Comarca de Cosmópolis / Foro de Cosmópolis / 1ª Vara Judicial,COSMOPOLIS,Passivo,Negaram,Unânime,2020-04-27,"APELAÇÃO CRIMINAL –  Apropriação indébita qualificada –  Recurso da defesa –  Ausência de dolo –  Materialidade e autoria demonstradas –  Declarações da vítima seguras e coesas, ratificadas pelo depoimento da testemunha –  Dolo configurado –  Crime praticado em razão da profissão –  Pena mínima e regime prisional aberto estipulados com critério –  Restritivas de direitos adequadas ao caso –  Recurso desprovido.  (TJSP;  Apelação Criminal 0003916-92.2014.8.26.0150; Relator (a): Fernando Torres Garcia; Órgão Julgador: 14ª Câmara de Direito Criminal; Foro de Cosmópolis - 1ª Vara Judicial; Data do Julgamento: 27/04/2020; Data de Registro: 27/04/2020)",6.31895961670089,64.76386036960986,3550308,Faculdade de Direito da Universidade de São Paulo,40.02737850787132,desembargador,não
00281836620158260224,DIREITO PENAL - Crimes contra o Patrimônio - Roubo Majorado,10ª Câmara de Direito Criminal,NELSON FONSECA JÚNIOR,Comarca de Guarulhos / Foro de Guarulhos / 5ª Vara Criminal,GUARULHOS,Passivo,Parcialmente,Unânime,2017-02-17,APELAÇÃO CRIMINAL - ROUBO MAJORADO - Crime praticado com emprego de arma - Confissão judicial do réu corroborada pelas demais provas dos autos - Condenação devida - Pena mitigada - Necessidade - Regime prisional inicial fechado preservado - Recurso parcialmente provido.  (TJSP;  Apelação Criminal 0028183-66.2015.8.26.0224; Relator (a): Nelson Fonseca Junior; Órgão Julgador: 10ª Câmara de Direito Criminal; Foro de Guarulhos - 5ª Vara Criminal; Data do Julgamento: 16/02/2017; Data de Registro: 17/02/2017),2.130047912388775,58.91854893908282,3550308,Faculdade de Direito da Pontifícia Universidade Católica de São Paulo,32.9719370294319,desembargador,não
00012808520168260635,DIREITO PENAL - Crimes contra o Patrimônio - Furto Qualificado,02ª Câmara de Direito Criminal,ALEX ZILENOVSKI,Comarca de São Paulo / Foro Central Criminal Barra Funda / 4ª Vara Criminal,SAO PAULO,Passivo,Parcialmente,Unânime,2016-11-24,N/A (TJSP;  Apelação Criminal 0001280-85.2016.8.26.0635; Relator (a): Alex Zilenovski; Órgão Julgador: 2ª Câmara de Direito Criminal; Foro Central Criminal Barra Funda - 4ª Vara Criminal; Data do Julgamento: 21/11/2016; Data de Registro: 24/11/2016),0.8980150581793293,65.07871321013005,3515509,Faculdade de Direito da Universidade de São Paulo,37.59069130732375,desembargador,não
00235997520188260506,DIREITO PENAL - Crimes contra o Patrimônio - Furto Qualificado,12ª Câmara de Direito Criminal,PAULO ROSSI,Comarca de Ribeirão Preto / Foro de Ribeirão Preto / 2ª Vara Criminal,RIBEIRAO PRETO,Passivo,Parcialmente,Unânime,2022-12-19,N/A (TJSP;  Apelação Criminal 0023599-75.2018.8.26.0506; Relator (a): Paulo Rossi; Órgão Julgador: 12ª Câmara de Direito Criminal; Foro de Ribeirão Preto - 2ª Vara Criminal; Data do Julgamento: 19/12/2022; Data de Registro: 19/12/2022),4.963723477070499,72.10677618069815,3548708,Faculdade de Direito Braz Cubas,40.02737850787132,desembargador,não
00014134720188260542,DIREITO PENAL - Crimes contra o Patrimônio - Roubo Majorado,05ª Câmara de Direito Criminal,DAMIÃO COGAN,Comarca de Osasco / Foro de Osasco / 3ª Vara Criminal,OSASCO,Passivo,Negaram,Unânime,2020-03-04,"Apelação Criminal. Roubos majorados e Resistência. Concurso material. Recurso defensório buscando a desclassificação para o delito de roubo simples tentado, reconhecimento do crime continuado e readequação das penas. Conjunto probatório robusto a embasar o decreto condenatório. Penas e Regime mantidos. Recurso improvido.  (TJSP;  Apelação Criminal 0001413-47.2018.8.26.0542; Relator (a): Damião Cogan; Órgão Julgador: 5ª Câmara de Direito Criminal; Foro de Osasco - 3ª Vara Criminal; Data do Julgamento: 04/03/2020; Data de Registro: 04/03/2020)",2.1711156741957565,68.66255989048597,3550308,Faculdade de Direito da Universidade de São Paulo,,desembargador,sim
00000495620178260548,DIREITO PENAL - Crimes contra o Patrimônio - Roubo Majorado,03ª Câmara de Direito Criminal,CÉSAR AUGUSTO ANDRADE DE CASTRO,Comarca de Campinas / Foro de Campinas / 2ª Vara Criminal,CAMPINAS,Passivo,Negaram,Unânime,2018-09-28,"Apelação das Defesas –  Roubo em concurso de agentes, com emprego de arma e restrição à liberdade da vítima –  Suficiência de provas à condenação –  Acusados presos em poder dos bens subtraídos –  Consistentes depoimentos da vítima, da testemunha e dos policiais militares –  Inviabilidade de desclassificação da conduta para o crime de receptação –  Provas de que os réus tomaram parte na subtração dos bens –  Causas de aumento bem reconhecidas –  Não apreensão da arma de fogo que não impede o reconhecimento da causa de aumento, desde que demonstrada por outros elementos de prova –  Crime consumado –  Súmula 582 do STJ –  Pena-base fixada acima do mínimo legal com fundamento nos maus antecedentes do réu Evandro –  Circunstância agravante da reincidência reconhecida para ambos os acusados – Exasperação das penas em 1/2 em razão das causas de aumento –  Sentença bem fundamentada –  Prática de dois crimes de roubo mediante ação única –  Exasperação das penas em 1/6 –  Regime inicial fechado –  Crime praticado com grave ameaça e violência à pessoa –  Impossibilidade de fixação de regime inicial mais brando –  Recursos de apelação desprovidos.  (TJSP;  Apelação Criminal 0000049-56.2017.8.26.0548; Relator (a): Cesar Augusto Andrade de Castro ; Órgão Julgador: 3ª Câmara de Direito Criminal; Foro de Campinas - 2ª Vara Criminal; Data do Julgamento: 25/09/2018; Data de Registro: 28/09/2018)",1.7385352498288844,71.44147843942505,3555000,Faculdade de Direito da Alta Paulista - Tupã,33.776865160848736,desembargador,não
00071548720158260408,DIREITO PENAL - Crimes Previstos na Legislação Extravagante - Crimes de Trânsito,01ª Câmara de Direito Criminal,IVO DE ALMEIDA,Comarca de Ourinhos / Foro de Ourinhos / 1ª Vara Criminal,OURINHOS,Passivo,Parcialmente,Unânime,2018-08-20,N/A (TJSP;  Apelação Criminal 0007154-87.2015.8.26.0408; Relator (a): Ivo de Almeida; Órgão Julgador: 1ª Câmara de Direito Criminal; Foro de Ourinhos - 1ª Vara Criminal; Data do Julgamento: 13/08/2018; Data de Registro: 20/08/2018),3.6331279945242985,65.73032169746749,3550308,Faculdade de Direito da Pontifícia Universidade Católica de São Paulo,36.68993839835729,desembargador,não
00020794920168260629,DIREITO PENAL - Crimes Previstos na Legislação Extravagante - Crimes da Lei de licitações,08ª Câmara de Direito Criminal,SÉRGIO RIBAS,Comarca de Tietê / Foro de Tietê / 2ª Vara,TIETE,Passivo,Negaram,Unânime,2021-12-10,N/A (TJSP;  Apelação Criminal 0002079-49.2016.8.26.0629; Relator (a): Sérgio Ribas; Órgão Julgador: 8ª Câmara de Direito Criminal; Foro de Tietê - 2ª Vara; Data do Julgamento: 09/12/2021; Data de Registro: 10/12/2021),5.94113620807666,66.71047227926078,4104907,Faculdade de Direito da Universidade de São Paulo,38.83915126625599,desembargador,não
