id_municipio,baixados,novos,pendentes,muni_nm,uf_sigla,regiao_nm,idhm,idhm_e,idhm_l,idhm_r,espvida,rdpc,gini,pop,lat,lon
1100015,2298,3037,35735,ALTA FLORESTA D'OESTE,RO,Norte,0.641,0.526,0.763,0.657,70.75,476.99,0.58,22429,-11.929,-61.996
1100023,17749,20224,330269,ARIQUEMES,RO,Norte,0.702,0.6,0.806,0.716,73.36,689.95,0.53,88730,-9.913,-63.041
1100049,15178,15123,240204,CACOAL,RO,Norte,0.718,0.62,0.821,0.727,74.27,738.06,0.57,76876,-11.438,-61.448
1100056,2570,2364,74323,CEREJEIRAS,RO,Norte,0.692,0.602,0.799,0.688,72.94,577.18,0.5,16815,-13.189,-60.812
1100064,2641,2570,48031,COLORADO DO OESTE,RO,Norte,0.685,0.584,0.814,0.676,73.81,535.41,0.49,18204,-13.117,-60.542
1100080,1149,1529,22717,COSTA MARQUES,RO,Norte,0.611,0.493,0.751,0.616,70.04,370.77,0.52,13246,-12.445,-64.227
1100098,3060,3869,84361,ESPIGÃO D'OESTE,RO,Norte,0.672,0.536,0.819,0.691,74.15,590.8,0.52,27791,-11.525,-61.013
1100106,3716,4136,98020,GUAJARÁ-MIRIM,RO,Norte,0.657,0.519,0.823,0.663,74.39,494.69,0.54,38203,-10.783,-65.339
1100114,5637,5887,78351,JARU,RO,Norte,0.689,0.577,0.825,0.687,74.51,575.14,0.49,51304,-10.439,-62.466
1100122,12772,14069,227920,JI-PARANÁ,RO,Norte,0.714,0.617,0.81,0.728,73.6,743.35,0.53,115322,-10.882,-61.944
1100130,3539,4689,72113,MACHADINHO D'OESTE,RO,Norte,0.596,0.446,0.755,0.629,70.32,401.42,0.55,28671,-9.444,-61.981
1100148,2227,2336,36018,NOVA BRASILÂNDIA D'OESTE,RO,Norte,0.643,0.524,0.763,0.664,70.75,499.59,0.56,18998,-11.725,-62.331
1100155,5490,5547,100760,OURO PRETO DO OESTE,RO,Norte,0.682,0.569,0.812,0.687,73.72,576.51,0.48,37159,-10.716,-62.248
1100189,4764,5767,116306,PIMENTA BUENO,RO,Norte,0.71,0.613,0.803,0.726,73.15,734.76,0.54,33386,-11.673,-61.193
1100205,59846,75008,1303689,PORTO VELHO,RO,Norte,0.736,0.638,0.819,0.764,74.14,929.19,0.56,419354,-8.762,-63.904
