date,lecture
07/08/23,Fatoração de Matrizes / Estatística Descritiva
11/08/23,Normal Multivariada
14/08/23,Análise de Componentes Principais
18/08/23,Sistemas de Recomendação
21/08/23,Escalonamento Multidimensional
25/08/23,
28/08/23,
01/09/23,
04/09/23,Feriado
08/09/23,Feriado
11/09/23,Revisão
15/09/23,Prova 1
18/09/23,
22/09/23,
25/09/23,
29/09/23,
02/10/23,
06/10/23,
09/10/23,
13/10/23,Feriado
16/10/23,
20/10/23,
23/10/23,
27/10/23,
30/10/23,
03/11/23,Feriado
06/11/23,
10/11/23,
13/11/23,
17/11/23,
20/11/23,
24/11/23,
27/11/23,
01/12/23,
04/12/23,
08/12/23,
11/12/23,
15/12/23,
18/12/23,
