date,lecture
06/08/26,Descrição do curso e histograma
11/08/26,Distribuição empírica e funcionais estatísticos
13/08/26,Função de influência: definição e resultados básicos
18/08/26,Função de influência: aplicações ao aprendizado de máquina
20/08/26,Jackknife e Bootstrap
25/08/26,Regressão: Estimador de Nadaraya-Watson
27/08/26,Regressão: Estimador de Nadaraya-Watson
01/09/26,Regressão: Estimadores de projeção
03/09/26,Regressão: Estimadores de projeção
08/09/26,Semana da Pátria (não haverá aula)
10/09/26,Semana da Pátria (não haverá aula)
15/09/26,Regressão: Polinômios locais 
17/09/26,Regressão: Polinômios locais 
22/09/26,Revisão
24/09/26,Prova 1
29/09/26,Estimador de densidade por kernel
01/10/26,Estimador de densidade por Kernel
06/10/26,Estimador de densidade por Kernel
08/10/26,Escolha de banda e validação cruzada
13/10/26,Estimação de densidade condicional
15/10/26,Redução à Normal Multivariada
20/10/26,Quotas inferiores sobre o risco minimax
22/10/26,Quotas inferiores sobre o risco minimax
27/10/26,Lema de Fano
29/10/26,Lema de Assouad
03/11/26,Desigualdade de van Trees
05/11/26,Outros métodos para quotas inferiores
10/11/26,Teorema de Pinsker
12/11/26,Teorema de Pinsker
17/11/26,TBA
19/11/26,Revisão
24/11/26,Prova 2
26/11/26,Seminários
01/12/26,Seminários
03/12/26,Seminários
08/12/26,Prova Substitutiva
10/12/26,Prova de Recuperação
